service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20200810,20201009
117701,1,1,1,1,1,0,0,20200810,20201009
118001,1,1,1,1,1,0,0,20200810,20201009
13101,0,0,0,0,0,0,0,20000101,20000101
13201,1,1,1,1,1,0,0,20200810,20201009
14201,0,0,0,0,0,0,0,20000101,20000101
14301,1,1,1,1,1,0,0,20200810,20201009
14801,0,0,0,0,0,0,0,20000101,20000101
14901,0,0,0,0,0,0,0,20000101,20000101
165801,1,1,1,1,1,0,0,20200810,20200911
165802,0,0,0,0,0,1,0,20200815,20200912
165803,0,0,0,0,0,0,1,20200816,20200913
165901,1,1,1,1,1,0,0,20200914,20201009
165902,0,0,0,0,0,1,0,20200919,20201010
165903,0,0,0,0,0,0,1,20200920,20201011
178602,0,0,0,0,0,1,0,20200905,20200905
178603,1,0,0,0,0,0,1,20200906,20200907
183803,0,0,0,0,0,0,1,20200816,20201011
2,0,0,0,0,0,1,0,20200815,20201010
208401,0,0,0,0,0,0,0,20000101,20000101
209501,1,1,1,1,1,0,0,20200810,20201009
210402,0,0,0,0,0,1,0,20200815,20201010
210403,0,0,0,0,0,0,1,20200816,20201011
210602,0,0,0,0,0,1,0,20200815,20201010
3,0,0,0,0,0,0,1,20200816,20201011
6201,0,0,0,0,0,0,0,20000101,20000101
6301,1,1,1,1,1,0,0,20200810,20201009
