route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
Blue,1,2962156,BAYPOINTE,,0,9001,100072,0,0
Blue,210402,2962477,BAYPOINTE,,0,9001,100072,0,0
Blue,1,2960250,BAYPOINTE,,0,9002,100072,0,0
Blue,210402,2962478,BAYPOINTE,,0,9002,100072,0,0
Blue,1,2960249,BAYPOINTE,,0,9004,100072,0,0
Blue,210402,2954915,BAYPOINTE,,0,9003,100072,0,0
Blue,210403,2963922,BAYPOINTE,,0,9003,100072,0,0
Blue,1,2960248,BAYPOINTE,,0,9005,100072,0,0
Blue,210402,2954916,BAYPOINTE,,0,9004,100072,0,0
Blue,210403,2963923,BAYPOINTE,,0,9004,100072,0,0
Blue,1,2960247,BAYPOINTE,,0,9006,100072,0,0
Blue,1,2960246,BAYPOINTE,,0,9007,100072,0,0
Blue,210402,2954887,BAYPOINTE,,0,9005,100072,0,0
Blue,210403,2963894,BAYPOINTE,,0,9005,100072,0,0
Blue,1,2960245,BAYPOINTE,,0,9001,100072,0,0
Blue,210402,2954888,BAYPOINTE,,0,9001,100072,0,0
Blue,210403,2963895,BAYPOINTE,,0,9001,100072,0,0
Blue,1,2960244,BAYPOINTE,,0,9002,100072,0,0
Blue,1,2960243,BAYPOINTE,,0,9003,100072,0,0
Blue,210402,2954889,BAYPOINTE,,0,9002,100072,0,0
Blue,210403,2963896,BAYPOINTE,,0,9002,100072,0,0
Blue,1,2960242,BAYPOINTE,,0,9004,100072,0,0
Blue,210402,2954890,BAYPOINTE,,0,9003,100072,0,0
Blue,210403,2963897,BAYPOINTE,,0,9003,100072,0,0
Blue,1,2960241,BAYPOINTE,,0,9005,100072,0,0
Blue,1,2960240,BAYPOINTE,,0,9006,100072,0,0
Blue,210402,2954891,BAYPOINTE,,0,9004,100072,0,0
Blue,210403,2963898,BAYPOINTE,,0,9004,100072,0,0
Blue,1,2960239,BAYPOINTE,,0,9007,100072,0,0
Blue,210402,2954892,BAYPOINTE,,0,9005,100072,0,0
Blue,210403,2963899,BAYPOINTE,,0,9005,100072,0,0
Blue,1,2960238,BAYPOINTE,,0,9001,100072,0,0
Blue,1,2960237,BAYPOINTE,,0,9002,100072,0,0
Blue,210402,2954893,BAYPOINTE,,0,9001,100072,0,0
Blue,210403,2963900,BAYPOINTE,,0,9001,100072,0,0
Blue,1,2960236,BAYPOINTE,,0,9003,100072,0,0
Blue,210402,2954894,BAYPOINTE,,0,9002,100072,0,0
Blue,210403,2963901,BAYPOINTE,,0,9002,100072,0,0
Blue,1,2960235,BAYPOINTE,,0,9004,100072,0,0
Blue,1,2960234,BAYPOINTE,,0,9005,100072,0,0
Blue,210402,2954895,BAYPOINTE,,0,9003,100072,0,0
Blue,210403,2963902,BAYPOINTE,,0,9003,100072,0,0
Blue,1,2960233,BAYPOINTE,,0,9006,100072,0,0
Blue,210402,2954896,BAYPOINTE,,0,9004,100072,0,0
Blue,210403,2963903,BAYPOINTE,,0,9004,100072,0,0
Blue,1,2960232,BAYPOINTE,,0,9007,100072,0,0
Blue,1,2960231,BAYPOINTE,,0,9001,100072,0,0
Blue,210402,2954897,BAYPOINTE,,0,9005,100072,0,0
Blue,210403,2963904,BAYPOINTE,,0,9005,100072,0,0
Blue,1,2960230,BAYPOINTE,,0,9002,100072,0,0
Blue,210402,2954898,BAYPOINTE,,0,9001,100072,0,0
Blue,210403,2963905,BAYPOINTE,,0,9001,100072,0,0
Blue,1,2960229,BAYPOINTE,,0,9003,100072,0,0
Blue,1,2960228,BAYPOINTE,,0,9004,100072,0,0
Blue,210402,2954899,BAYPOINTE,,0,9002,100072,0,0
Blue,210403,2963906,BAYPOINTE,,0,9002,100072,0,0
Blue,1,2960227,BAYPOINTE,,0,9005,100072,0,0
Blue,210402,2954900,BAYPOINTE,,0,9003,100072,0,0
Blue,210403,2963907,BAYPOINTE,,0,9003,100072,0,0
